excluded,RavensProgressiveMatrix_sum,Inherence_Bias,Should_Score,Good_Score,Ought_Score,Belief_in_Just_World,instructionsâ onthefollowingscreensyouwillbeaskedtofilloutseve,startnextsurvey,pleasereadthestatementsonthefollowingpages.thinkcarefullyaboutho,ih01stop,ih02beds,ih03diamon,ih04dollar,ih05chipmu,ih06oj,ih07pink,ih08white,ih09black,ih10mint,ih117days,ih12weeken,ih13limbs,ih14eyes,ih15sounds,ihc1,ihc2,beginnexttaskâ thefollowingisapatternmatchingtask.inthissectio,rmpprac1,practicequestion1answerâ â hereisthecorrectanswertotheprevio,rpmprac2,practicequestion2answerâ â hereisthecorrectanswertotheprevio,begintestquestionsyouwillnowbeaskedtocomplete12questionswithoutr,rpm1,timingfirstclick,timinglastclick,timingpagesubmit,timingclickcount,rpm2,timingfirstclick_A,timinglastclick_A,timingpagesubmit_A,timingclickcount_A,rpm3,timingfirstclick_B,timinglastclick_B,timingpagesubmit_B,timingclickcount_B,rpm4,timingfirstclick_C,timinglastclick_C,timingpagesubmit_C,timingclickcount_C,rpm5,timingfirstclick_D,timinglastclick_D,timingpagesubmit_D,timingclickcount_D,rpm6,timingfirstclick_E,timinglastclick_E,timingpagesubmit_E,timingclickcount_E,rpm7,timingfirstclick_F,timinglastclick_F,timingpagesubmit_F,timingclickcount_F,rpm8,timingfirstclick_G,timinglastclick_G,timingpagesubmit_G,timingclickcount_G,rpm9,timingfirstclick_H,timinglastclick_H,timingpagesubmit_H,timingclickcount_H,rpm10,timingfirstclick_I,timinglastclick_I,timingpagesubmit_I,timingclickcount_I,rpm11,timingfirstclick_J,timinglastclick_J,timingpagesubmit_J,timingclickcount_J,rpm12,timingfirstclick_K,timinglastclick_K,timingpagesubmit_K,timingclickcount_K,beginnextsurvey,instructionspleaserateeachofthestatementsonthefollowingpagesusin,bjw1,bjw2,bjw3,bjw4,bjw5,bjw6,bjw7,bjw8,bjw9,bjw10,bjw11,bjw12,bjw13,bjw14,bjw15,bjw16,bjw17,bjw18,bjw19,bjw20,belowisapassagefromanewspaperarticleorpressrelease.afterreadingt,timingfirstclick_L,timinglastclick_L,timingpagesubmit_L,timingclickcount_L,shouldpizza,doyouthinktheamountofpizzasoldwillgrowinthenext5years,whatdoyouthinkaccountsforthecurrentpricesofpizza,howfarbackdoyouthinkdatahasbeencollectedonpizzaconsumptionintheu,whatareyourpizzaconsumptionhabits,â belowisapassagefromanewspaperarticleorpressrelease.afterread,timingfirstclick_M,timinglastclick_M,timingpagesubmit_M,timingclickcount_M,goodfootball,doyouthinkthenumberofviewerswhowatchthegameslivewillstayataround,whatdoyouthinkaccountsforwhyonly6offootballviewerswatchthegamesl,howfarbackdoyouthinkdatahasbeencollectedonfootballviewershipinth,whatareyourfootballviewinghabits,â belowisapassagefromanewspaperarticleorpressrelease.afterre_A,timingfirstclick_N,timinglastclick_N,timingpagesubmit_N,timingclickcount_N,goodwork,doyouthinkthepercentageofpeoplewhoridetheirbikestoworkwillcontin,whatdoyouthinkaccountsforwhysofewamericansridetheirbikestowork,howfarbackdoyouthinkdatahasbeencollectedondrivingratesintheunite,whatareyourdrivinghabits,â belowisapassagefromanewspaperarticleorpressrelease.afterre_B,timingfirstclick_O,timinglastclick_O,timingpagesubmit_O,timingclickcount_O,shouldtv,doyouthinktheaveragenumberofshowsandmoviesthatamericanswatchperw,whatdoyouthinkaccountsforthegrowingnumberofavailabledevicestowat,howfarbackdoyouthinkdatahasbeencollectedontvviewingintheunitedst,whatareyourtvviewinghabits,â belowisapassagefromanewspaperarticleorpressrelease.afterre_C,timingfirstclick_P,timinglastclick_P,timingpagesubmit_P,timingclickcount_P,shouldemail,doyouthinktheoverallpopulationofinternetuserswillcontinuetogrowi,whatdoyouthinkaccountsfortherecentriseinthepopulationofinternetu,howfarbackdoyouthinkdatahasbeencollectedonemailandinternetsearch,whatareyouremailandinternetsearchhabits,belowisapassagefromanewspaperarticleorpressrelease.afterreadin_A,timingfirstclick_Q,timinglastclick_Q,timingpagesubmit_Q,timingclickcount_Q,goodcoffee,doyouthinkthesinglecupbrewingformatisgoingtogrowinthefuture,whatdoyouthinkaccountsforthesuccessofthesinglecupbrew,howfarbackdoyouthinkdatahasbeencollectedoncoffeeconsumptioninthe,whatareyourcoffeedrinkinghabits,pleaseanswerthefollowingdemographicquestions.aswithallanswersint,gender,educ,income,relig,ethnic,age,conserv,english,thankyouforparticipating.pleaseanswerthefollowingfewquestionstoh,@1.didyoufindanyaspectoftheprocedureoddorconfusing,@2.whatdidyouthinkwewerestudying,@3.doyouthinkthattheremayhavebeenmoretothisstudythanmeetstheeyei,@4.doyouhaveanyadditionalthoughtsorcommentsaboutthestudy,attention,filter_$
0,5,7.666666667,6.333333333,6.666666667,6.5,5.65,1,1,1,9,9,9,8,9,8,9,9,9,9,3,3,6,9,6,3,7,1,8,1,3,1,1,7,7.69,7.69,9.035,1,1,14.654,15.592,16.464,2,4,9.773,9.773,10.721,1,6,4.248,4.248,4.963,1,2,6.598,6.598,7.934,1,8,6.27,6.27,7.45,1,3,19.515,19.515,20.529,1,5,2.611,4.148,4.884,3,8,5.947,5.947,7.291,1,8,13.876,13.876,15.275,1,8,6.025,6.025,6.994,1,2,4.714,4.714,5.556,1,1,1,2,3,5,4,4,6,6,2,4,8,7,6,6,8,7,6,1,4,9,9,1,31.442,54.098,54.958,5,3,1,"Supply and demand, and convenience",2,i eat pizza twice a week usually,1,11.41,35.969,36.845,5,9,1,ticket prices are sky high,3,I wathc the games of the teams I am most interested in.,1,106.211,133.833,135.06,4,6,1,The roads are not generally safe and a car is much quicker.,4,I drive everywhere I need to go.,1,9.195,36.865,40.704,6,9,1,convenience,3,"I watch TV daily, and even if I am not watching it it is on in the background.",1,32.415,82.595,83.358,7,7,1,our society is obsessed with instant gratification and technology.,1,I use email and search websites multiple times per day.,1,33.783,59.25,60.26,6,5,1,It is more convenient and less is wasted.,1,I do not drink coffee.,1,2,3,22000,pentecostal,white,26,7,1,1,no,unsure,yes but unsure what,no,1,1
1,5,7.333333333,6.666666667,8,7.333333333,4.6,1,1,1,7,4,4,8,8,8,8,7,8,9,8,7,8,8,8,7,8,1,2,1,3,1,1,7,8.697,8.697,10.044,1,1,15.966,15.966,17.423,1,3,15.699,15.699,18.939,1,6,15.646,15.646,16.437,1,8,13.962,13.962,18.51,1,7,10.647,10.647,11.588,1,1,11.757,11.757,13.35,1,2,21.914,25.612,26.492,2,5,9.379,9.379,10.245,1,6,10.74,10.74,12.575,1,5,11.594,13.362,14.074,3,6,8.885,9.816,10.48,2,1,1,7,2,4,8,6,7,6,6,3,7,3,4,7,7,8,8,4,8,7,4,1,8.922,47.868,48.557,6,8,1,abundance of supplies and resources to make and create pizza,4,i rarely eat pizza only 3-4 times per year,1,8.366,44.312,50.961,7,8,1,the cost of tickets to see football live is too expensive,3,i rarely watch football at all,1,5.206,49.915,50.89,6,8,2,it is an inconvenience and much harder and longer to travel to and from work,4,try to carpool with people; use of automobiles religiously,1,24.385,62.367,80.24,5,7,1,"online services such as youtube, hulu and netflix",4,i try to minimize tv usage throughout the day but in the end i would probably watch tv for about 3-4 hours per day,1,6.567,81.148,81.953,10,5,1,use of smart phones and tablets,2,i use email and internet search on an everyday basis to get information that i need,1,6.323,24.871,34.905,6,8,1,keurig home devices,3,i rarely drink coffee; i usually consume tea based drinks,1,1,4,10000,roman catholic,vietnamese,28,3,1,1,not at all; it was very enlightening,opinions across different demographics,i dont believe so,none at all,1,0
0,4,5.333333333,5.666666667,2.666666667,4.166666667,4.2,1,1,1,3,6,7,1,6,1,5,5,7,8,1,9,7,8,6,3,7,1,8,1,3,1,1,1,10.006,10.006,11.699,1,1,37.25,37.25,38.578,1,1,29.487,29.487,32.458,1,6,15.813,15.813,17.075,1,2,35.62,35.62,36.915,1,3,34.663,34.663,38.692,1,5,23.577,23.577,25.041,1,3,37.88,37.88,41.594,1,7,20.162,20.162,21.603,1,2,41.18,41.18,43.51,1,8,23.528,23.528,25.149,1,1,19.76,20.389,21.594,2,1,1,4,2,4,5,2,7,5,6,2,9,4,5,8,5,6,5,8,3,6,8,1,25.057,63.207,100.514,5,5,1,Price of ingredients and pay levels of workers plus rent for business.,1,I eat pizza about three times a month.,1,7.276,41.567,42.941,5,5,1,Expense of tickets and distance from venues.,3,I don't watch football.,1,70.132,113.368,123.201,5,1,1,"Lack of dedicated bike lanes, bad weather, and lack of changing and shower facilities at most workplaces.",3,I do not drive.,1,13.767,80.324,82.485,5,5,1,Interest among consumers for customized viewing experiences rather than mass broadcasts.,4,I don't own a TV and don't watch TV.,1,17.035,59.729,73.254,7,7,1,More people using computers.,1,I search regularly throughout the day and exchange emails daily.,1,10.411,83.511,84.368,6,2,1,Outlets such as Starbucks have increased desire of many for individually prepared coffee servings.,3,I don't drink coffee.,1,1,5,68000,Roman Catholic,Caucasian,35,6,1,1,No,Patience for answering narrative questions after unrelated tasks?,No.,No,1,1
0,2,5.8,8,7.666666667,7.833333333,4.85,1,1,1,7,8,6,6,4,5,7,8,6,3,5,7,2,6,7,3,7,1,8,1,3,1,1,7,16.059,16.059,18.486,1,4,36.732,46.946,48.261,3,8,23.057,23.057,24.931,1,6,27.254,27.254,28.169,1,7,34.541,34.541,35.719,1,7,14.869,14.869,16.583,1,5,16.353,16.353,17.316,1,7,13.193,13.193,14.244,1,3,33.46,33.46,34.711,1,6,23.169,23.169,24.237,1,2,26.858,26.858,27.989,1,4,10.129,10.129,11.484,1,1,1,4,4,7,3,6,6,6,6,4,7,6,6,8,4,6,7,7,6,8,8,1,70.252,355.2,386.187,5,8,1,Competition. There are so many people eating it. The vendors have to price the pizza competively to sell it.,1,I order a pizza once or twicw a week almost every week.,1,50.581,115.409,116.529,5,6,1,Cost of tickets and driving and parking expenses.,1,I never watch football.,1,38.807,117.145,121.088,5,8,1,Weather conditions and distance to work.,1,I walk to work because it is only a couple of blocks away.,1,38.987,99.43,100.495,5,9,1,Consumer demand and competition.,1,I watch about 20 hours of live tv a week.,1,41.215,130.24,131.167,5,7,1,More internet options. A lot more devices you can get on the internet with.,1,I dont email a lot. I do surf the web and search daily.,1,35.137,72.666,110.98,5,9,1,It saves a lot of time and prevents waste.,1,I make 2 or 3 pots everyday. I drink a large amount of coffee.,1,2,2,24000,christian,white,48,7,1,1,Not really. The surveys were nothing alike.,I dont know. Americas habits and buying trends maybe.,No it was kinda odd that the parts were so different.,No,1,1
0,2,4.266666667,7,3.666666667,5.333333333,4.65,1,1,1,5,3,3,5,5,3,5,5,5,2,5,5,3,5,5,3,7,1,8,1,3,1,1,7,12.871,12.871,15.761,1,2,23.05,24.964,25.429,2,5,13.5,16.13,16.971,2,1,29.145,29.145,30.235,1,2,21.36,21.36,22.917,1,8,21.017,21.017,23.803,1,5,13.96,13.96,16.242,1,3,26.513,26.513,28.587,1,5,40.802,41.816,43.02,2,6,17.373,17.373,19.248,1,5,17.434,17.434,21.97,1,3,19.003,19.003,20.401,1,1,1,5,5,5,5,5,6,4,5,4,5,5,5,6,5,4,5,5,3,4,6,1,27.02,76.749,78.09,4,5,2,Don't know.,2,Two or three times a week.,1,40.478,51.833,66.177,4,5,1,Easier and cheaper to watch by other means.,1,None,1,43.287,71.383,78.243,5,1,1,Less convienent.,1,None,1,60.332,91.113,92.029,6,7,2,Companies catering to consumer demand.,3,None,1,85.729,132.556,133.732,7,9,1,More people getting online.,1,Daily use of email. /  / Mayby 2-3 times a week for searching.,1,24.858,40.598,41.953,6,5,1,Don't know.,1,None,1,1,3,8000,None,White,45,5,1,1,Not really.,Not sure.,"Yes, but not sure what.",Nope,1,1
0,1,5.266666667,7,5,6,5.15,1,1,1,8,6,6,2,6,7,3,3,6,4,3,8,3,7,7,3,7,1,8,1,3,1,1,7,5.279,5.279,6.375,1,2,8.255,8.255,9.185,1,7,7.527,9.758,10.676,2,2,9.714,12.152,13.243,2,7,19.276,19.276,20.357,1,3,24.401,27.474,29.384,2,5,9.318,11.176,11.951,2,8,16.361,23.027,32.418,2,3,16.251,16.251,17.445,1,6,23.15,23.15,24.345,1,7,10.193,10.193,11.513,1,7,31.495,32.453,33.407,2,1,1,4,4,6,8,7,7,7,4,4,5,5,6,6,4,6,6,4,4,8,4,1,34.64,49.879,75.694,5,8,1,"the prices? I'm not sure, maybe the competition",1,at least once a month,1,58.15,91.393,102.375,5,5,1,its expensive and the view isn't always great,1,i view them on my laptop or big computer monitor,1,44.777,75.377,105.89,6,3,2,not enough good public transportation from suburban areas into the city,1,"i live too far from my downtown where i work to take transportation, the time quadruples if i were to take a train and two buses.",1,48.205,108.09,108.984,5,6,2,the usability and choice to watch when you want to,1,"sometimes, a few times a week.",1,471.65,568.128,569.3,5,7,1,all of the different types of media that's available and the freedom to use it without going anywhere.,2,email and search everyday and at least 3 times a day.,1,36.641,97.459,98.412,5,7,1,it seems that it wastes less and can accomodate different flavors for different people in a household or company,1,i make coffee in a manual drip funnel and at least 5 times a week.,1,2,4,11000,christian,asian,37,3,1,1,the puzzles,thought perception?,"yes, maybe how what we are prompted in our minds effects are problem solving",no,1,1
0,3,6.6,5.666666667,4,4.833333333,6.15,1,1,1,8,7,8,6,3,5,8,9,7,5,4,8,7,7,7,3,7,1,8,1,3,1,1,7,15.28,15.28,20.293,1,2,35.052,35.052,38.639,1,3,15.041,32.766,35.697,2,6,16.02,16.02,19.551,1,5,22.135,28.198,31.239,2,7,9.92,9.92,11.241,1,5,28.751,28.751,29.562,1,7,14.024,14.024,15.272,1,2,26.208,26.941,27.877,2,3,20.795,20.795,23.384,1,7,6.162,38.548,39.765,2,7,15.943,15.943,17.066,1,1,1,2,6,4,3,4,7,4,3,8,3,7,6,4,6,7,7,2,2,8,4,1,24.793,93.613,94.342,9,4,2,I think the current prices of pizza are determined by numerous factors including the price of key ingredients and increased competition in the pizza industry.,2,I tend to eat pizza twice a month mainly due to its convenience.,1,24.515,63.641,121.285,5,4,1,"Most people have commitments (e.g. work) that prevents them from watching the games live. In addition, watching the games live tends to be expensive and time consuming.",2,I occasionally watch football games approximately once a week during the NFL season.,1,28.291,75.424,76.384,5,2,1,I think that few Americans ride their bikes to work because it is inconvenient for them.,4,I tend to drive to work on a daily basis.,1,22.504,93.14,94.103,5,6,1,I think the advances made in technology have made it  more accessible to a growing segment of the American population at a price that most Americans can find affordable.,4,I tend to watch television for about 3 hours a day or 21 hours a week on average.,1,32.944,73.123,142.084,5,7,1,"Since the advent of modern technology including the Internet, it has become an essential part of society. People use the Internet to communicate with others, search for their favorite restaurants, and to learn valuable skills for the workplace.",1,I check my email about once a day while I search the Internet multiple times a day.,1,39.679,140.063,141.11,5,6,1,I think what accounts for the success of the single cup brew is its convenience and superiority in taste and freshness when compared to other methods.,3,"I tend to drink coffee twice a day, mainly purchased from local gas stations.",1,1,3,3000,Muslim,White,22,4,1,1,Not at all,I think you were studying how participants make judgements based on the specific situation., ,Great study!,1,1
0,1,5.266666667,5.666666667,3,4.333333333,4.85,1,1,1,4,4,5,4,7,4,8,5,7,7,3,7,7,3,4,3,7,1,8,1,3,1,1,7,4.4,4.4,6.708,1,5,4.406,4.406,5.401,1,4,7.549,10.677,12.212,2,2,6.276,6.276,7.957,1,7,4.172,4.172,5.514,1,7,3.074,3.074,4.312,1,8,3.974,3.974,5.047,1,2,4.073,4.073,5.624,1,3,19.965,19.965,36.598,1, ,0,0,60.011,0, ,0,0,60.142,0, ,0,0,60.008,0,1,1,7,3,5,7,4,4,4,5,7,3,4,5,7,8,7,7,3,7,3,7,1,33.525,180.321,191.903,8,3,1, The demand for pizza determines the prices.,2,I eat pizza 3 times a month.,1,3.256,64.322,65.465,8,5,1,TV is more convenient than watching live.,4,I watch football every Sunday.,1,189.978,226.722,227.95,6,1,1,Cars are a sign of status in America.,2,I drive only on the weekends.,1,115.507,196.979,197.788,6,5,2,I feel the size of the family affects this.,3,I watch tv at least 2 hours a day.,1,45.889,73.274,86.321,5,9,1,The popularity of the internet has rose.,1,I use both services many times each day.,1,107.507,142.538,143.691,5,3,1,Americans feel the need to multitask and coffee helps this.,1,I drink coffee once a month.,1,1,3,24000,Christian,African,23,4,1,1,No,The purpose of this study was to determine my personality traits.,No,No,1,1
0,2,4.8,7.666666667,2,4.833333333,3.85,1,1,1,6,4,5,1,8,5,1,5,5,6,6,4,4,5,7,3,7,1,8,1,3,1,1,7,8.217,9.464,10.461,2,1,20.367,20.367,21.233,1,4,27.973,27.973,28.977,1,2,6.468,6.468,8.208,1,6,16.933,16.933,17.696,1,4,32.893,32.893,33.952,1,3,9.332,9.332,11.046,1,3,7.593,7.593,8.555,1,7,7.452,7.452,8.72,1,4,13.165,13.165,15.105,1,8,9.655,9.655,10.371,1,2,8.765,9.757,11.2,2,1,1,4,1,4,4,4,5,4,7,3,5,4,4,9,6,4,5,9,2,6,9,1,9.926,29.133,47.226,5,5,1,"Raw ingredient costs seem constant, and so does the price of my pizza.",4,I eat pizza every week.,1,35.826,140.837,142.812,5,1,2,"Only a limited number of people fit in a stadium, and it's necessary to travel and pay for parking or wait for mass transit.",4,"When I visit a friend's house, I sometimes observe that football may be on their TV.  It never enters my own house.",1,17.061,50.706,68.48,5,1,1,It is dangerous to share the road with crazed automobilists.,4,"I hold a license, but do not own a car or drive.  I use public transit.",1,10.476,54.962,55.808,5,9,2,It's convenient to watch in a portable format.,4,I watch TV every day because it is more important than brushing my teeth.,1,9.759,60.044,61.395,5,9,1,Advanced technology and technological literacy.  Ease of use and access.,2,I use the Internet where I would have used the telephone a decade or two ago.,1,14.438,49.916,51.979,5,4,2,Convenience (over price and ecological soundness),4,I drink several cups a day.,1,1,3,46000,atheist,white,59,1,1,1,It was very long.  Very very long.,I cannot imagine anything was left out.  The entire syllabus must be here.,This is opaque to me.,"Thank you for allowing me to provide your data.  I am sorry that so many written answers were required, but ""sprung"" upon the subject without preparation.  I shall not make a point of recommending this to some of the other prospective research subjects I know, who are more sensitive to the rate of pay for writing assignments.",1,1
0,4,6.133333333,8,4.666666667,6.333333333,5.45,1,1,1,8,8,4,4,4,4,6,6,7,4,7,8,8,8,6,3,7,1,8,1,3,1,1,7,10.802,10.802,16.314,1,1,35.271,35.936,45.934,2,3,12.19,12.19,15.42,1,6,42.762,42.762,54.476,1, ,0,0,60.003,0,7,35.757,35.757,60.001,1,5,17.427,17.427,50.29,1,6,46.544,50.035,60.003,2,3,37.393,37.393,44.338,1,5,27.747,59.656,60.002,2,8,40.295,45.981,60.002,2,2,37.829,37.829,42.506,1,1,1,3,5,4,6,3,7,6,4,2,6,5,7,4,7,7,4,4,3,9,9,1,42.296,159.551,161.182,5,6,1,The prices have increased because the items needed to make them have increased but it seems that many places offer specials that reduce the price quite often.,1,I eat pizza a couple at least once a month.,1,76.581,162.746,187.546,11,8,1,I believe that the expense of going to  live games account for why so few people go.,4,I view games on tv regularly.,1,52.851,89.066,128.763,6,4,1,I think people like to be able to run errands after work and have the convenience of controlling their own time.,4,I drive to work daily.,1,62.139,348.935,350.296,24,9,1,Because being able to have access is important to people so therefore in order for companies to maintain being competitive they have to make devices that are in line with what people want.,4,"I watch TV many hours a week on TV, Computer/laptop, and  Phone daily and I use the DVR,  on demand, and NEtFlix regularly to catch anything I have missed.",1,2.752,247.296,261.5,8,9,1,"More companies use the internet for business, Therefore people use for bill paying, banking, job search, entertainment, and shopping so as it become the major source for interaction with business and companies more people must use.",1,I use both several times daily,1,36.943,91.911,101.69,6,2,1,It is convenient and less expensive to brew your own at home.,2,I don't drink any coffee.,1,2,4,30000,Christian,Black,46,5,1,1,No,Really not sure from questioning,I do think it was more. Again I'm Stumped on his one,no,1,1
